Reporting Fiscal Year,Agency,Agency Name,Resource indicators,Previous FY Actual,Current FY Plan,Current FY Updated Plan,Next FY Plan,Previous FY 4-Month Actual,Current FY 4-Month Actual,Notes
2024,311,311,"Expenditures ($000,000)",$65.30,$56.00,$56.70,$58.70,$26.50,$25.80,This is a subtotal of the Department of Information Technology and Telecommunications total.  Includes all funds.
2024,311,311,Personnel,342,391,396,396,350,361,This is a subtotal of the Department of Information Technology and Telecommunications total.
2024,311,311,Overtime paid ($000),$125,$239,$239,$239,$32,$55,This is a subtotal of the Department of Information Technology and Telecommunications total.
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,"Expenditures ($000,000)","$2,988.30","$2,726.30","$3,244.20","$2,711.90","$1,345.50","$1,573.30",Includes all funds.
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,"Revenues ($000,000)",$5.50,$3.40,$3.40,$3.40,$2.20,$1.40,
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,Personnel,"6,222","7,120","7,113","7,058","6,238","6,295",
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,"Overtime paid ($000,000)",$53.90,$39.20,$39.20,$39.20,$12.60,$15.40,
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,"Capital commitments ($000,000)",$10.00,$62.30,$149.90,$107.90,$5.10,$2.90,
2024,ACS,ADMIN FOR CHILDREN'S SERVICES,"Human services contract budget ($000,000)","$1,667.50","$1,440.70","$1,806.60","$1,385.90",$461.00,$627.90,
2024,BIC,BUSINESS INTEGRITY COMMISSION,"Expenditures ($000,000)",$9.00,$8.40,$8.40,$8.10,$4.40,$4.20,Includes all funds.
2024,BIC,BUSINESS INTEGRITY COMMISSION,"Revenues ($000,000)",$6.50,$6.60,$8.60,$5.10,$2.20,$2.10,
2024,BIC,BUSINESS INTEGRITY COMMISSION,Personnel,70,74,74,73,70,72,
2024,BIC,BUSINESS INTEGRITY COMMISSION,Overtime paid ($000),$84,$0,$0,$0,$25,$10,
2024,BOE,BOARD OF ELECTIONS,"Expenditures ($000,000)",$258.00,$137.80,$265.80,$144.80,$65.40,$49.40,Includes all funds.
2024,BOE,BOARD OF ELECTIONS,Revenues ($000),$33.30,$38.00,$38.00,$38.00,$8.60,$4.80,
2024,BOE,BOARD OF ELECTIONS,Personnel,860,652,652,652,833,859,
2024,BOE,BOARD OF ELECTIONS,"Overtime paid ($000,000)",$11.70,$8.30,$8.30,$8.30,$4.60,$1.80,
2024,CCHR,COMMISSION ON HUMAN RIGHTS,"Expenditures ($000,000)",$11.10,$14.10,$12.90,$13.60,$3.80,$3.90,Includes all funds.
2024,CCHR,COMMISSION ON HUMAN RIGHTS,Personnel,101,143,140,140,104,107,
2024,CCHR,COMMISSION ON HUMAN RIGHTS,Overtime paid ($000),$0,$15,$15,$15,$0,$0,
2024,CCRB,CIVILIAN COMPLAINT REVIEW BOARD,"Expenditures ($000,000)",$23.70,$25.40,$24.50,$22.60,$6.00,$7.70,Includes all funds.
2024,CCRB,CIVILIAN COMPLAINT REVIEW BOARD,Personnel,230,265,250,234,214,240,
2024,CCRB,CIVILIAN COMPLAINT REVIEW BOARD,Overtime paid ($000),$293,$250,$250,$250,$59,$117,
2024,CUNY,CITY UNIVERSITY OF NEW YORK,"Expenditures ($000,000)","$1,269.70","$1,458.40","$1,494.60","$1,269.80",$365.00,$117.40,Includes all funds.
2024,CUNY,CITY UNIVERSITY OF NEW YORK,"Revenues ($000,000)",$210.30,$415.30,$415.30,$415.30,$45.80,$44.70,
2024,CUNY,CITY UNIVERSITY OF NEW YORK,Personnel,"7,249","9,775","9,375","9,375","8,272","8,194",
2024,CUNY,CITY UNIVERSITY OF NEW YORK,"Overtime paid ($000,000)",$7.30,$3.60,$3.70,$3.60,$2.20,$2.20,
2024,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Expenditures ($000,000)",$67.90,$67.70,$66.30,$61.90,$33.60,$36.70,Includes all funds.
2024,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,"Revenues ($000,000)",$21.80,$18.50,$18.50,$17.20,$7.20,$5.50,
2024,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,Personnel,413,447,$447,$447,410,421,
2024,DCWP,DEPT OF CONSUMER & WORKER PROTECTION,Overtime paid ($000),$120,$114,$114,$114,$25,$34,
2024,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Expenditures ($000,000)","$1,623.60","$1,643.50","$2,048.00","$1,997.50","$1,164.40","$1,333.90",Includes all funds.
2024,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Revenues ($000,000)",$73.40,$72.10,$75.80,$67.00,$22.80,$25.70,
2024,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,Personnel,"2,068","2,584","2,564","2,555","2,074","2,109",
2024,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Overtime paid ($000,000)",$28.70,$22.90,$23.00,$22.40,$9.00,$8.20,
2024,DCAS,DEPARTMENT OF CITYWIDE ADMIN SERVICES,"Capital commitments ($000,000)",$168.70,$268.80,$248.40,$196.70,$22.80,$24.90,
2024,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Expenditures ($000,000)",$245.10,$241.60,$221.40,$144.80,$114.40,$116.10,Includes all funds.
2024,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Personnel,64,76,79,77,62,66,
2024,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,Overtime paid ($000),$7,$0,$0,$0,$6,$5,
2024,DCLA,DEPARTMENT OF CULTURAL AFFAIRS,"Capital commitments ($000,000)",$54.10,$156.00,$265.20,$227.60,$13.90,$27.60,
2024,DCP,DEPARTMENT OF CITY PLANNING,"Expenditures ($000,000)",$39.70,$48.70,$49.60,$44.10,$19.30,$20.00,Includes all funds.
2024,DCP,DEPARTMENT OF CITY PLANNING,"Revenues ($000,000)",$3.40,$2.50,$2.50,$2.70,$0.90,$0.50,
2024,DCP,DEPARTMENT OF CITY PLANNING,Personnel,320,376,353,374,290,319,
2024,DCP,DEPARTMENT OF CITY PLANNING,Overtime paid ($000),$39,$32,$32,$32,$11,$10,
2024,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Expenditures ($000,000)",$228.40,$157.40,$190.90,$172.80,$111.40,$79.20,Includes all funds.
2024,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Revenues ($000),$26.30,$50.00,$50.00,$50.00,$0.00,$0.00,
2024,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,Personnel,"1,076","1,201","1,192","1,192","1,090","1,074",
2024,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Overtime paid ($000,000)",$1.70,$1.10,$1.10,$1.10,$0.50,$0.40,
2024,DDC,DEPARTMENT OF DESIGN & CONSTRUCTION,"Capital commitments (capital projects managed for client agencies) ($000,000)","$2,441.60","$4,082.50","$1,866.70",*,NA,NA,
