FISCAL YEAR,AGENCY NAME AND NUMBER,COUNTY,EXPENDITURE CATEGORY,AMOUNT,NUMBER,AGENCY NAME
2023,102-HOUSE OF REPRESENTATIVES,ANDERSON,SALARIES AND WAGES,67440,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,SALARIES AND WAGES,818554.45,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,SALARIES AND WAGES,351460.43,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,SALARIES AND WAGES,11913.04,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDERSON,SALARIES AND WAGES,83804.87,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,ANDERSON,SALARIES AND WAGES,65883.81,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,SALARIES AND WAGES,346123.38,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,SALARIES AND WAGES,2162989.65,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,ANDERSON,SALARIES AND WAGES,27236.15,407,TX COMMISSION ON LAW ENFORCEMENT
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,SALARIES AND WAGES,130936.94,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,ANDERSON,SALARIES AND WAGES,121624.22,455,RAILROAD COMMISSION OF TEXAS
2023,506-UT MD ANDERSON CANCER CENTER,ANDERSON,SALARIES AND WAGES,11471.82,506,UT MD ANDERSON CANCER CENTER
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,SALARIES AND WAGES,3930066.3,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,SALARIES AND WAGES,1731057.48,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,SALARIES AND WAGES,356892.11,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,554-TEXAS ANIMAL HEALTH COMMISSION,ANDERSON,SALARIES AND WAGES,42895,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDERSON,SALARIES AND WAGES,103130.18,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,ANDERSON,SALARIES AND WAGES,1239.34,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,SALARIES AND WAGES,181169.1,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,SALARIES AND WAGES,7570.45,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,SALARIES AND WAGES,78608.65,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,SALARIES AND WAGES,1351529.78,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,SALARIES AND WAGES,71203153,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,711-TEXAS A&M UNIVERSITY,ANDERSON,SALARIES AND WAGES,40770,711,TEXAS A&M UNIVERSITY
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANDERSON,SALARIES AND WAGES,63109.7,723,UT MEDICAL BRANCH AT GALVESTON
2023,731-TEXAS WOMAN'S UNIVERSITY,ANDERSON,SALARIES AND WAGES,8250,731,TEXAS WOMAN'S UNIVERSITY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,SALARIES AND WAGES,545378.36,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,1317.5,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,236.25,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,SALARIES AND WAGES,59360.48,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,773-UNIVERSITY OF NORTH TEXAS-DALLAS,ANDERSON,SALARIES AND WAGES,5124.99,773,UNIVERSITY OF NORTH TEXAS-DALLAS
2023,785-UT HEALTH CENTER AT TYLER,ANDERSON,SALARIES AND WAGES,20439.56,785,UT HEALTH CENTER AT TYLER
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,SALARIES AND WAGES,816109.17,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,ANDERSON,SALARIES AND WAGES,12570.18,808,TEXAS HISTORICAL COMMISSION
2023,102-HOUSE OF REPRESENTATIVES,ANDERSON,EMPLOYEE BENEFITS,21563.46,102,HOUSE OF REPRESENTATIVES
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,EMPLOYEE BENEFITS,213339.33,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,EMPLOYEE BENEFITS,102894.73,302,OFFICE OF THE ATTORNEY GENERAL
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,EMPLOYEE BENEFITS,3713.18,320,TEXAS WORKFORCE COMMISSION
2023,323-TEACHER RETIREMENT SYSTEM OF TEXAS,ANDERSON,EMPLOYEE BENEFITS,14430.58,323,TEACHER RETIREMENT SYSTEM OF TEXAS
2023,332-TX DEPT OF HOUSING & COMMUNITY AFFAIRS,ANDERSON,EMPLOYEE BENEFITS,17171.19,332,TX DEPT OF HOUSING & COMMUNITY AFFAIRS
2023,401-TEXAS MILITARY DEPARTMENT,ANDERSON,EMPLOYEE BENEFITS,22830.24,401,TEXAS MILITARY DEPARTMENT
2023,405-TEXAS DEPARTMENT OF PUBLIC SAFETY,ANDERSON,EMPLOYEE BENEFITS,542677.32,405,TEXAS DEPARTMENT OF PUBLIC SAFETY
2023,407-TX COMMISSION ON LAW ENFORCEMENT,ANDERSON,EMPLOYEE BENEFITS,7846.19,407,TX COMMISSION ON LAW ENFORCEMENT
2023,101-SENATE,TRAVIS,TRAVEL,120224.31,101,SENATE
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,EMPLOYEE BENEFITS,38658.77,454,TEXAS DEPARTMENT OF INSURANCE
2023,455-RAILROAD COMMISSION OF TEXAS,ANDERSON,EMPLOYEE BENEFITS,35322.99,455,RAILROAD COMMISSION OF TEXAS
2023,479-STATE OFFICE OF RISK MANAGEMENT,ANDERSON,EMPLOYEE BENEFITS,283603.19,479,STATE OFFICE OF RISK MANAGEMENT
2023,506-UT MD ANDERSON CANCER CENTER,ANDERSON,EMPLOYEE BENEFITS,666.09,506,UT MD ANDERSON CANCER CENTER
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,EMPLOYEE BENEFITS,1164934.02,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,EMPLOYEE BENEFITS,504739.49,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,537-DEPARTMENT OF STATE HEALTH SERVICES,ANDERSON,EMPLOYEE BENEFITS,106645.82,537,DEPARTMENT OF STATE HEALTH SERVICES
2023,554-TEXAS ANIMAL HEALTH COMMISSION,ANDERSON,EMPLOYEE BENEFITS,13786.91,554,TEXAS ANIMAL HEALTH COMMISSION
2023,555-TEXAS A&M AGRILIFE EXTENSION SERVICE,ANDERSON,EMPLOYEE BENEFITS,33949.01,555,TEXAS A&M AGRILIFE EXTENSION SERVICE
2023,556-TEXAS A&M AGRILIFE RESEARCH,ANDERSON,EMPLOYEE BENEFITS,266.53,556,TEXAS A&M AGRILIFE RESEARCH
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,EMPLOYEE BENEFITS,25137.8,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,EMPLOYEE BENEFITS,1924.42,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,EMPLOYEE BENEFITS,22666.58,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,EMPLOYEE BENEFITS,409081.46,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,EMPLOYEE BENEFITS,20791677.47,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,711-TEXAS A&M UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,7606.84,711,TEXAS A&M UNIVERSITY
2023,723-UT MEDICAL BRANCH AT GALVESTON,ANDERSON,EMPLOYEE BENEFITS,15852.1,723,UT MEDICAL BRANCH AT GALVESTON
2023,731-TEXAS WOMAN'S UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,987.27,731,TEXAS WOMAN'S UNIVERSITY
2023,750-UNIVERSITY OF TEXAS AT TYLER,ANDERSON,EMPLOYEE BENEFITS,138147.97,750,UNIVERSITY OF TEXAS AT TYLER
2023,753-SAM HOUSTON STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,154.88,753,SAM HOUSTON STATE UNIVERSITY
2023,754-TEXAS STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,21.2,754,TEXAS STATE UNIVERSITY
2023,755-STEPHEN F AUSTIN STATE UNIVERSITY,ANDERSON,EMPLOYEE BENEFITS,8998.43,755,STEPHEN F AUSTIN STATE UNIVERSITY
2023,773-UNIVERSITY OF NORTH TEXAS-DALLAS,ANDERSON,EMPLOYEE BENEFITS,569.3,773,UNIVERSITY OF NORTH TEXAS-DALLAS
2023,785-UT HEALTH CENTER AT TYLER,ANDERSON,EMPLOYEE BENEFITS,2748.28,785,UT HEALTH CENTER AT TYLER
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,EMPLOYEE BENEFITS,245484.8,802,PARKS & WILDLIFE DEPARTMENT
2023,808-TEXAS HISTORICAL COMMISSION,ANDERSON,EMPLOYEE BENEFITS,3948.55,808,TEXAS HISTORICAL COMMISSION
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,SUPPLIES AND MATERIALS,312,454,TEXAS DEPARTMENT OF INSURANCE
2023,530-DEPT OF FAMILY & PROTECTIVE SERVICES,ANDERSON,SUPPLIES AND MATERIALS,1396.51,530,DEPT OF FAMILY & PROTECTIVE SERVICES
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,SUPPLIES AND MATERIALS,1182.87,576,TEXAS A&M FOREST SERVICE
2023,601-TEXAS DEPARTMENT OF TRANSPORTATION,ANDERSON,SUPPLIES AND MATERIALS,961.23,601,TEXAS DEPARTMENT OF TRANSPORTATION
2023,696-TEXAS DEPARTMENT OF CRIMINAL JUSTICE,ANDERSON,SUPPLIES AND MATERIALS,769319.45,696,TEXAS DEPARTMENT OF CRIMINAL JUSTICE
2023,802-PARKS & WILDLIFE DEPARTMENT,ANDERSON,SUPPLIES AND MATERIALS,38268.5,802,PARKS & WILDLIFE DEPARTMENT
2023,241-COMPTROLLER - JUDICIARY SECTION,ANDERSON,OTHER EXPENDITURES,800.63,241,COMPTROLLER - JUDICIARY SECTION
2023,302-OFFICE OF THE ATTORNEY GENERAL,ANDERSON,OTHER EXPENDITURES,56485.61,302,OFFICE OF THE ATTORNEY GENERAL
2023,304-COMPTROLLER OF PUBLIC ACCOUNTS,ANDERSON,OTHER EXPENDITURES,1750,304,COMPTROLLER OF PUBLIC ACCOUNTS
2023,315-TEXAS PREPAID HIGHER ED TUITION BOARD,ANDERSON,OTHER EXPENDITURES,49221.98,315,TEXAS PREPAID HIGHER ED TUITION BOARD
2023,320-TEXAS WORKFORCE COMMISSION,ANDERSON,OTHER EXPENDITURES,82.82,320,TEXAS WORKFORCE COMMISSION
2023,454-TEXAS DEPARTMENT OF INSURANCE,ANDERSON,OTHER EXPENDITURES,7,454,TEXAS DEPARTMENT OF INSURANCE
2023,529-HEALTH AND HUMAN SERVICES COMMISSION,ANDERSON,OTHER EXPENDITURES,-9772.19,529,HEALTH AND HUMAN SERVICES COMMISSION
2023,575-TEXAS DIVISION OF EMERGENCY MANAGEMENT,ANDERSON,OTHER EXPENDITURES,300,575,TEXAS DIVISION OF EMERGENCY MANAGEMENT
2023,576-TEXAS A&M FOREST SERVICE,ANDERSON,OTHER EXPENDITURES,6557.79,576,TEXAS A&M FOREST SERVICE
2023,582-TX COMMISSION ON ENVIRONMENTAL QUALITY,ANDERSON,OTHER EXPENDITURES,155613,582,TX COMMISSION ON ENVIRONMENTAL QUALITY
